PBI-###,Type,Title,Description,AcceptanceCriteria,ReqIDs,NFR_Tags,StoryPoints,Priority,Owner,Sprint,Status,Dependencies,Notes
PBI-098,Task,Do analyze current assignment-validation gap and unresolved flags,"Action to be performed: inspect the current role-assignment implementation, blocker note, and durable docs to isolate exactly which acceptance-criteria paths remain impossible and why. Why it is needed: the team must distinguish completed assignment behavior from work blocked by missing identity and membership source of truth. Expected output: reviewed gap note, explicit remaining behaviors, and constraint list for lookup ownership work. Scope: code-path review, blocker reconciliation, gap note, and dependency map. Explicit exclusions: no new runtime validation logic.","[ReqID: R03] Given the current assignment implementation is reviewed, when the analysis is completed, then the remaining blocked behaviors are explicitly listed against the relevant acceptance criteria. | [ReqID: R03] Given the durable docs and backlog are compared, when the task concludes, then the unresolved flags and required prerequisite decisions are identified without placeholder assumptions.",R03,Maintainability;Architecture,1,P0,Platform Engineer,Sprint 2,Draft,PBI-084;PBI-050,"Important: first execution slice for the blocker spike. Evidence: gap note, dependency map, acceptance-criteria coverage note."
PBI-099,Task,Do map ownership candidates and lookup-boundary options for user identity and organization membership,"Action to be performed: evaluate where user-existence lookup and user-to-organization membership lookup should live in the backend architecture. Why it is needed: role assignment cannot safely resume until lookup ownership is explicit. Expected output: ownership options, proposed boundary, and trade-off note. Scope: boundary options, ownership candidates, adapter direction, and multiplicity impact note. Explicit exclusions: no production lookup implementation.","[ReqID: R03] Given the current architecture is reviewed, when boundary options are compared, then the preferred owner for user lookup and organization-membership lookup is documented. | [ReqID: R03] Given assignment validation depends on these lookups, when the task concludes, then the selected option is justified well enough for implementation follow-up.",R03,Architecture;Maintainability;Integration,1,P0,Platform Engineer,Sprint 2,Draft,PBI-084;PBI-098,"Important: use durable docs as source of truth, not code-only drift. Evidence: boundary options matrix and recommendation."
PBI-100,Task,Do produce approved identity and membership lookup contract proposal and follow-up mapping,"Action to be performed: draft the minimal application-level contracts for user existence lookup and organization-membership lookup and map the exact implementation follow-ups needed. Why it is needed: PBI-085 cannot start cleanly without an approved contract. Expected output: contract proposal, method semantics, ownership note, and follow-up mapping. Scope: interface definitions, expected outcomes, error semantics, and backlog mapping. Explicit exclusions: runtime adapter code.","[ReqID: R03] Given the ownership decision exists, when the contract proposal is finalized, then the lookup interfaces define how the backend determines whether a user exists and whether a user belongs to an organization. | [ReqID: R03] Given follow-up implementation depends on the proposal, when the task closes, then the implementation map and dependent backlog items are explicit.",R03,Architecture;Maintainability;Reliability,1,P0,Platform Engineer,Sprint 2,Draft,PBI-084;PBI-099,"Important: closes the Spike with an executable contract, not just discussion. Evidence: contract diff, follow-up mapping, ownership note."
PBI-101,Task,Do implement application lookup ports for user existence and organization membership,"Action to be performed: add the application-layer ports required to ask whether a user exists and whether a user belongs to an organization. Why it is needed: assignment validation needs executable lookup seams, not only conceptual ownership. Expected output: application interfaces and service-level usage seam. Scope: port definitions, result shapes, and integration seam for role-assignment validation. Explicit exclusions: final infrastructure adapters.","[ReqID: R03] Given the approved lookup contract exists, when the ports are implemented, then the application layer exposes a stable seam for user existence lookup and organization-membership lookup. | [ReqID: R03] Given downstream services consume the ports, when compilation and tests run, then the interfaces are usable without placeholder logic in the assignment service.",R03,Maintainability;Integration;Reliability,2,P0,Backend Engineer,Sprint 2,Draft,PBI-085;PBI-100,Important: first executable slice of the unblocker enabler. Evidence: interface diff and compile-safe consumption seam.
PBI-102,Task,Do implement initial lookup adapters or test seams for identity and organization membership,"Action to be performed: add the initial infrastructure adapters or in-memory test seams that satisfy the new lookup ports. Why it is needed: the assignment service cannot be resumed or tested without executable implementations behind the ports. Expected output: working adapter or test seam for user existence and organization-membership checks. Scope: infrastructure classes, test doubles, and minimal integration wiring. Explicit exclusions: full external identity-provider integration.","[ReqID: R03] Given the lookup ports exist, when the adapters or test seams are added, then the backend can answer whether a user exists and whether that user belongs to an organization. | [ReqID: R03] Given assignment validation needs automated proof, when the task is completed, then the lookup path is usable in tests and later service integration.",R03,Integration;Reliability;Maintainability,2,P0,Backend Engineer,Sprint 2,Draft,PBI-085;PBI-101,Important: keep the implementation minimal but executable. Evidence: adapter tests or service-level seam tests.
PBI-103,Task,Do integrate identity and membership lookups into the role-assignment validation flow,"Action to be performed: wire the approved lookup capabilities into the role-assignment service so invalid-user and non-member paths are enforced. Why it is needed: this is the missing business validation that currently blocks PBI-050 completion. Expected output: assignment service rejects invalid users and users not belonging to the organization. Scope: service integration, validation order, and conflict/validation mapping. Explicit exclusions: UI behavior.","[ReqID: R03] Given a referenced user does not exist, when assignment creation is attempted, then the service rejects the request with the correct error response. | [ReqID: R03] Given a referenced user exists but does not belong to the organization, when assignment creation is attempted, then the service rejects the request with the correct error response.",R03,Reliability;Security;Maintainability,2,P0,Backend Engineer,Sprint 2,Draft,PBI-085;PBI-102;PBI-050,Important: this task resumes the blocked acceptance criteria of PBI-050. Evidence: service tests for invalid-user and non-member paths.
PBI-104,Task,"Do execute lookup-integration tests, docs updates, and evidence for resumed assignment validation","Action to be performed: validate the resumed identity and membership rejection paths, update durable docs if behavior is clarified, and collect evidence. Why it is needed: PBI-050 cannot close on implementation alone. Expected output: automated coverage, evidence bundle, and doc alignment. Scope: application tests, route tests, regression checks, and notes updates. Explicit exclusions: new business behavior beyond the resumed validation paths.","[ReqID: R03] Given lookup integration is complete, when automated tests run, then invalid-user and non-member rejection paths are covered without breaking existing successful assignment behavior. | [ReqID: R03] Given the resumed validation changes contract or state understanding, when the task closes, then the relevant durable docs are updated and evidence is attached.",R03,Quality;Maintainability;Audit,1,P0,QA Lead,Sprint 2,Draft,PBI-085;PBI-103;PBI-050,Important: evidence task for the resumed blocked slice. Include route-level error cases and assignment success regression.
PBI-105,Task,Do inventory current actor-source usage in protected routes and audit emitters,"Action to be performed: inspect where protected routes and audit emitters currently source actor identity. Why it is needed: the actor-boundary spike must start from current implementation truth, not assumption. Expected output: actor-source inventory and route impact list. Scope: route handlers, audit calls, request headers, and current actor derivation patterns. Explicit exclusions: auth-boundary implementation.","[ReqID: R03;R20;R22] Given the current codebase is reviewed, when the inventory is completed, then all protected routes and audit emitters relying on actor identity are listed. | [ReqID: R03;R20;R22] Given current implementations may differ, when the task closes, then the places that still depend on raw client-supplied actor data are explicitly identified.",R03;R20;R22,Architecture;Audit;Maintainability,1,P0,Platform Engineer,Sprint 2,Draft,PBI-086,Important: first slice of the actor-boundary spike. Evidence: route inventory and actor-source matrix.
PBI-106,Task,Do produce approved trusted actor-context boundary and migration proposal,"Action to be performed: define the approved request-context boundary for trusted actor data and map the route/audit migration steps. Why it is needed: follow-up implementation must converge on one request-actor pattern. Expected output: approved actor-context contract, migration note, and affected-route map. Scope: request context shape, middleware/plugin boundary, migration steps, and backlog impact. Explicit exclusions: actual middleware code.","[ReqID: R03;R20;R22] Given the actor-source inventory exists, when the proposal is finalized, then the trusted actor-context boundary and route-consumption pattern are explicitly defined. | [ReqID: R03;R20;R22] Given downstream hardening depends on this decision, when the task closes, then affected routes and follow-up implementation work are identified clearly.",R03;R20;R22,Architecture;Security;Maintainability,1,P0,Platform Engineer,Sprint 2,Draft,PBI-086;PBI-105,Important: closes the actor-boundary spike with a migration-ready proposal.
PBI-107,Task,Do implement shared request actor-context middleware or plugin,"Action to be performed: add the shared backend mechanism that populates trusted actor context into the request lifecycle. Why it is needed: protected routes and audits need a common trusted source rather than raw client headers. Expected output: request actor context mechanism and route-consumption seam. Scope: middleware/plugin, request typing, actor-context population, and integration seam. Explicit exclusions: full external identity-provider rollout.","[ReqID: R03;R20;R22] Given the approved actor-boundary proposal exists, when the middleware or plugin is implemented, then protected routes can read trusted actor context from the request lifecycle. | [ReqID: R03;R20;R22] Given the mechanism is in place, when build and tests run, then route handlers have a stable actor-context seam without direct dependence on raw client actor headers.",R03;R20;R22,Security;Integration;Maintainability,2,P0,Backend Engineer,Sprint 2,Draft,PBI-087;PBI-106,Important: first executable slice of the auth-derived actor enabler. Evidence: middleware/plugin tests and route-consumption example.
