PBI-###,Type,Title,Description,AcceptanceCriteria,ReqIDs,NFR_Tags,StoryPoints,Priority,Owner,Sprint,Status,Dependencies,Notes
PBI-436,Feature,Production extension architecture,"Define the modular production architecture for Fabric consortium, payments, IoT/EPCIS, documents, Shariah certification, export signing, ERP/accounting, and UI productization.","Given the plan is reviewed, when implementation begins, then every production extension area has modular boundaries, PBIs, dependencies, and source references.",R03;R05;R06;R07;R10;R11;R15;R16;R18;R20;R21;R23;R24;R25;R26;R30,Architecture;Maintainability;Security;Compliance,8,P0,Solution Architect,Sprint 8,Planned,PBI-423,Deployment relevance: production-extension. Source: docs/architecture/EXTENDED_PRODUCTION_ARCHITECTURE_PLAN.tex.
PBI-437,Task,Production Fabric consortium plan,"Define production Fabric CA, MSP, peer, orderer, channel, private data, endorsement, chaincode lifecycle, and governance operating model.","Given the plan is complete, when reviewed by blockchain engineer, then org mapping, MSP policy, channel design, private data boundaries, and operational runbooks are clear.",R09;R10;R16;R30,Blockchain;Security;Governance;Audit,5,P0,Blockchain Engineer,Sprint 8,Planned,PBI-436;PBI-421,Deployment relevance: production-extension. Source: docs/architecture/FABRIC_MVP_BOUNDARY.md; Hyperledger Fabric docs.
PBI-438,Task,Production Fabric consortium implementation,Implement the production-ready Fabric network skeleton and adapter configuration while retaining local/sandbox proof mode.,"Given Fabric mode is configured, when the app starts, then it can connect to the configured Fabric gateway or fail safely to unavailable proof state.",R05;R09;R10;R16;R30,Blockchain;Security;Reliability;Operability,13,P1,Blockchain Engineer,Sprint 9,Planned,PBI-437,Deployment relevance: production-extension. No raw business documents on-chain.
PBI-439,Task,Payment adapter framework,"Add a payment orchestration port with LocalSandboxPaymentAdapter, ManualSettlementAdapter, and future external payment adapter seams.","Given escrow release creates a payment instruction, when sandbox mode is active, then no real money moves and payment state is recorded auditable.",R06;R11;R12;R22,Payment;Audit;Reliability;Security,8,P0,Backend Engineer,Sprint 8,Planned,PBI-441,Deployment relevance: pilot-hardening. Swappable payment integration required.
PBI-440,Task,ISO 20022 payment execution mapping,Map platform payment instructions and settlement statuses to ISO 20022-like payment initiation and status artifacts.,"Given a payment instruction exists, when export is requested, then required debtor, creditor, amount, currency, remittance, and status fields are populated.",R11;R12,Interoperability;Payment;Compliance,8,P1,Integration Engineer,Sprint 9,Planned,PBI-439,Deployment relevance: production-extension. First adapter may be sandbox/file-based.
PBI-441,Feature,Escrow release workflow,"Extend escrow from creation-only to release-condition evaluation, release instruction, hold, expiry, refund, and audit proof.","Given delivery and acceptance conditions are satisfied, when buyer triggers release, then escrow moves to release-approved and payment instruction is created.",R06;R18;R22,Audit;Reliability;Payment;Compliance,13,P0,Backend Engineer,Sprint 8,Planned,PBI-379;PBI-380;PBI-439,Deployment relevance: pilot-hardening. No automatic settlement until payment adapter confirms status.
PBI-442,Feature,Dispute and arbitration workflow,"Add dispute case, evidence exchange, hold, arbitration decision, release/refund outcome, and audit trail.","Given a party raises a dispute, when arbitration decision is recorded, then escrow outcome is release, refund, or cancellation with immutable evidence.",R06;R21;R22,Audit;Compliance;Governance;Reliability,13,P1,Operations Lead,Sprint 9,Planned,PBI-441,Deployment relevance: production-extension. External arbitration integration remains post-MVP.
PBI-443,Task,IoT and QR evidence API,"Expose external IoT and QR proof ingestion APIs with device credentials, replay protection, signature validation, and safe metadata storage.","Given a valid signed device event is posted, when validation succeeds, then a delivery evidence record and lifecycle event are created.",R04;R18;R22,IoT;Security;Interoperability;Audit,8,P0,Integration Engineer,Sprint 8,Planned,PBI-379;PBI-458,Deployment relevance: pilot-hardening. Raw device payloads must be controlled and hashed.
PBI-444,Task,EPCIS logistics adapter,"Add EPCIS-compatible event import/export mapping for shipment, receipt, inspection, and custody events.","Given an EPCIS-compatible payload is submitted, when validation passes, then the platform maps it to delivery evidence and lifecycle metadata.",R04;R18,Interoperability;Logistics;Audit,8,P1,Integration Engineer,Sprint 9,Planned,PBI-443,Deployment relevance: production-extension. Source: GS1 EPCIS 2.0.
PBI-445,Feature,Document storage and rendering,"Add secure document upload, object storage, malware scan, MIME validation, preview metadata, and access policy.","Given an authorized user uploads a document, when validation passes, then metadata, hash, storage reference, and access policy are stored without on-chain raw content.",R10;R15;R18;R24,Privacy;Security;Documents;Audit,13,P0,Backend Engineer,Sprint 8,Planned,PBI-456,Deployment relevance: pilot-hardening. Object storage can start local/S3-compatible.
