PBI-###,Type,Title,Description,AcceptanceCriteria,ReqIDs,NFR_Tags,StoryPoints,Priority,Owner,Sprint,Status,Dependencies,Notes
PBI-001,Feature,DID-based SME identity registration,"Context: SMEs need verifiable digital identity before they can participate in the platform. Business problem: manual identity handling reduces trust and slows onboarding. User value: SMEs and admins can register and verify identity with stronger assurance. Scope: SME identity registration, VC submission, cryptographic verification, identity record creation. Out of scope: credential revocation lifecycle and advanced federation.","[ReqID: R01] Given an SME submits registration details with a valid verifiable credential, when verification is executed, then the platform creates an SME identity record and stores the verification result. | [ReqID: R01] Given an SME submits an invalid or tampered credential, when verification is executed, then registration is rejected and an audit entry is recorded.",R01,Security;Compliance;Privacy;Audit,5,P1,Identity Engineer,,Deferred,None,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP.
PBI-002,Feature,KYC and AML onboarding workflow,"Context: regulated participants require onboarding controls before transacting. Business problem: without KYC and AML workflow the platform cannot safely support regulated financing activity. User value: compliance teams and banks can assess onboarding status consistently. Scope: onboarding intake, KYC review status, AML flagging, audit retention. Out of scope: external sanctions engine procurement.","[ReqID: R02] Given a new SME onboarding case is submitted, when required KYC fields and documents are complete, then the case enters compliance review with a traceable status. | [ReqID: R02] Given an SME fails a KYC or AML rule, when review is completed, then the SME is flagged or blocked from transacting and the decision is logged.",R02,Security;Compliance;Audit;Privacy,8,P0,Compliance Lead,MVP,Planned,PBI-003;PBI-022,DoR: Ready. PO Approval: Approved for MVP on 2026-03-10. Constraint refs: C01-C07. Regulated area; centralized-first workflow acceptable for MVP.
PBI-003,Feature,Permissioned membership and role management,"Context: the platform requires controlled membership and role assignment for participating organizations and internal operators. Business problem: unmanaged access creates governance and security risk. User value: admins can onboard organizations and enforce least-privilege access. Scope: member registration, role assignment, activation, deactivation, access enforcement. Out of scope: decentralized consortium governance automation.","[ReqID: R03] Given an administrator creates a member organization and assigns roles, when the record is saved, then the member can authenticate and access only permitted functions. | [ReqID: R03] Given a member is removed or deactivated, when access is attempted, then protected actions are denied and the attempt is logged.",R03,Security;Compliance;Maintainability;Audit,5,P0,Platform Engineer,MVP,Completed,None,DoR: Ready. PO Approval: Approved for MVP on 2026-03-10. Constraint refs: C01-C07. Foundational MVP capability.
PBI-004,Feature,EPCIS-compatible shipment and receipt event recording,"Context: supply-chain milestone events need a common exchange format. Business problem: inconsistent event capture reduces interoperability and traceability. User value: buyers and logistics partners can exchange standardized shipment and receipt events. Scope: EPCIS-aligned event ingestion, validation, storage, export. Out of scope: advanced logistics analytics.","[ReqID: R04] Given a shipment or receipt event is submitted in the supported event format, when validation runs, then the event is accepted only if it conforms to the required schema. | [ReqID: R04] Given a valid event exists, when an export is requested, then the platform returns an EPCIS-compatible event payload.",R04,Interoperability;Reliability;Audit,5,P2,Integration Engineer,,Deferred,PBI-005,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP.
PBI-005,Feature,Immutable audit trail for procure-to-pay events,"Context: procure-to-pay actions require end-to-end traceability. Business problem: fragmented records make audits and dispute investigation difficult. User value: auditors and operators can trace PO, delivery, invoice, and settlement activity reliably. Scope: event capture, timestamping, actor traceability, hash or immutable reference storage. Out of scope: regulator export bundle formatting.","[ReqID: R05] Given a PO, delivery, invoice, or settlement action occurs, when the transaction is committed, then the platform records the event with timestamp, actor identity, and immutable reference data. | [ReqID: R05] Given an auditor opens a transaction history, when the audit trail is queried, then the ordered lifecycle of related events is displayed without gaps.",R05,Audit;Integrity;Compliance;Security,8,P0,Backend Engineer,MVP,Planned,PBI-003;PBI-022,DoR: Ready. PO Approval: Approved for MVP on 2026-03-10. Constraint refs: C01-C07. MVP may use centralized-first immutable audit storage or hybrid anchoring per C05-C06.
PBI-006,Feature,Order acceptance and escrow contract workflow,"Context: order acceptance and escrow handling are core transaction controls for financing-enabled procurement. Business problem: manual settlement logic is error-prone and hard to verify. User value: buyers, SMEs, and financiers can execute order and escrow flow with enforceable rules. Scope: order acceptance, escrow state transitions, release conditions, settlement triggers. Out of scope: full multi-party production smart-contract network operations.","[ReqID: R06] Given an approved order with escrow terms exists, when the buyer accepts the order, then the contract workflow creates an escrow state and records the governing terms. | [ReqID: R06] Given the defined proof conditions are satisfied, when release is triggered, then the escrow status changes and the release action is recorded for audit.",R06,Security;Audit;Reliability;Compliance,8,P0,Blockchain Engineer,MVP,Planned,PBI-005;PBI-003,DoR: Ready. PO Approval: Approved for MVP on 2026-03-10. Constraint refs: C01-C07. MVP implementation may be workflow-driven or hybrid anchored per C05-C06.
PBI-007,Feature,PLS contract model and distribution workflow,"Context: the platform must support Shariah-compliant profit and loss sharing products. Business problem: PLS rules require explicit, auditable parameterization and controlled execution. User value: banks and Shariah reviewers can create and track compliant PLS contracts. Scope: contract creation, parameter capture, distribution calculation inputs, distribution record lifecycle. Out of scope: advanced portfolio optimization.","[ReqID: R07] Given a PLS contract is created with approved parameters, when the contract is activated, then the platform stores profit ratio, loss allocation, and linked parties in an auditable record. | [ReqID: R07] Given a distribution event is executed for an active contract, when the calculation is confirmed, then the resulting allocation is recorded against the contract history.",R07,Compliance;Audit;Security;Maintainability,8,P0,Islamic Finance Analyst,MVP,Planned,PBI-006;PBI-020,DoR: Ready. PO Approval: Approved for MVP on 2026-03-10. Constraint refs: C01-C07. Regulated area; MVP scope limited to essential contract workflow.
PBI-008,Feature,Tokenized receivables issuance and redemption,"Context: receivables financing requires a traceable digital representation of the underlying invoice. Business problem: without controlled token lifecycle, provenance and redemption checks are weak. User value: financiers can issue, transfer, and redeem receivable representations with traceability. Scope: token issuance, provenance link, transfer, redemption status. Out of scope: public-chain interoperability.","[ReqID: R08] Given an eligible invoice is approved for financing, when token issuance is requested, then the platform creates a receivable token linked to the original invoice and records provenance metadata. | [ReqID: R08] Given a receivable token is redeemed, when redemption is processed, then the token status changes to redeemed and the history shows the full lifecycle.",R08,Security;Audit;Performance;Compliance,8,P1,Blockchain Engineer,MVP,Deferred,PBI-006;PBI-007,DoR: Ready. PO Approval: Approved for MVP on 2026-03-10. Constraint refs: C01-C07. MVP scope limited to sandboxable issuance and redemption flow.
PBI-009,Feature,Transaction endorsement policy validation,"Context: sensitive transactions require policy-based approval before acceptance. Business problem: without endorsement validation, unauthorized transactions may be accepted. User value: admins can enforce transaction acceptance rules consistently. Scope: endorsement policy definition, signature validation, rejection handling. Out of scope: complex multi-network policy orchestration.","[ReqID: R09] Given a transaction requires named endorsers, when the transaction is submitted without all required endorsements, then the platform rejects it with a policy violation result. | [ReqID: R09] Given a transaction includes the required endorsements, when validation runs, then the platform accepts the transaction and stores the endorsement evidence.",R09,Security;Reliability;Compliance;Audit,3,P2,Security Engineer,,Deferred,PBI-003,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP.
PBI-010,Feature,Privacy channels and private data visibility controls,"Context: some commercial terms are sensitive and should only be visible to authorized parties. Business problem: broad data exposure increases privacy and confidentiality risk. User value: permitted participants can view sensitive data while others see only restricted proofs or summaries. Scope: authorization checks, restricted data views, proof or hash visibility for non-permitted users. Out of scope: advanced data masking analytics.","[ReqID: R10] Given a user with authorized access opens a protected record, when the record is loaded, then the user can view the sensitive fields allowed by policy. | [ReqID: R10] Given a user without authorized access requests the same record, when access is evaluated, then the sensitive fields are hidden and only the permitted proof or metadata is returned.",R10,Privacy;Security;Compliance;Audit,5,P1,Security Engineer,,Deferred,PBI-003;PBI-022,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP.
