PBI ID,Parent PBI,Epic,Type,Actor,Title,Description,AcceptanceCriteria,ReqIDs,Priority,Owner,Sprint,Status,Dependencies,StoryPoints,DeploymentRelevance,SourceReferencePath,Notes
PBI-361,Release MVP,Actor-ready deployment MVP,Feature,All,Complete actor-ready deployment MVP,Complete all mandatory actor workflows for supervisor-ready deployment demo,All mandatory actors can sign in reach role-specific workflow complete primary action and produce validation evidence,R02;R03;R05;R06;R07;R15;R17;R20;R22,P0,Product Owner,Sprint 7,Active,PBI-263;PBI-282;PBI-296;PBI-309;PBI-323;PBI-333;PBI-006,13,mandatory,docs/sprint-planning/DEPLOYMENT_READY_MVP_ROADMAP.md,Parent epic for actor completion and deployment readiness
PBI-362,PBI-361,Scope and documentation lock,Task,Product Owner;Scrum Master,Lock MVP actor scope and source references,Update planning docs so MVP and post-MVP boundaries are explicit,Scope matrix lists mandatory should-have stretch and post-MVP work with ReqID and source references,All,P0,Scrum Master,Sprint 7,Completed,None,1,mandatory,docs/report/srs-v3.tex;docs/proposals/business_proposal_digital_procurement_pls_seedbed.tex,Wave 0 scope lock recorded in docs/evidence/qa/PBI-361_DEPLOYMENT_SCOPE_LOCK_VALIDATION.md
PBI-363,PBI-361,Backlog reconciliation,Task,Scrum Master;QA,Reconcile Sprint 6 backlog and evidence status,Review PBI-263 to PBI-360 and align planning notes with validation evidence,Implemented Sprint 6 items have traceable evidence notes and remaining gaps are listed,R05;R06;R17;R22,P0,QA Lead,Sprint 7,Completed,PBI-263;PBI-360,1,mandatory,backlog/backlog.csv;docs/evidence/qa,Wave 0 evidence map recorded without rewriting existing closure evidence
PBI-364,PBI-361,Administrator workflow,Feature,Administrator,Complete administrator member and RBAC workflow,Provide product-facing admin workflow for member organizations roles assignments and access history,Administrator can manage organizations roles assignments and status while unauthorized roles are blocked,R03;R17;R22,P0,Frontend Engineer,Sprint 7,Completed,PBI-003;PBI-017;PBI-022;PBI-253,8,mandatory,docs/contracts/API_CONTRACTS.md;docs/architecture/STATE_MODELS.md,Existing backend capabilities need visible UI flow
PBI-365,PBI-364,Administrator workflow,Story,Administrator,Admin dashboard,Create administrator dashboard with governance summaries and action entry points,Login as administrator opens admin dashboard with Members Roles and Access History actions,R03;R17;R22,P0,Frontend Engineer,Sprint 7,Completed,PBI-364;PBI-253,3,mandatory,docs/architecture/FRONTEND_PRODUCT_JOURNEY.md,No PBI labels in product UI
PBI-366,PBI-364,Administrator workflow,Task,Administrator,Add administrator demo role,Add administrator to demo account catalogue and dashboard resolver,Administrator demo login resolves to admin navigation and non-admins cannot access admin route,R03;R17,P0,Frontend Engineer,Sprint 7,Completed,PBI-253;PBI-263;PBI-365,2,mandatory,docs/contracts/AUTH_SESSION_CONTRACT.md,Backend authorization remains authoritative
PBI-367,PBI-364,Administrator workflow,Task,Administrator,Member organization list page,Implement member organization list with status filtering and safe metadata,Admin can view organizations by status and list does not expose raw KYC documents,R03;R22,P0,Frontend Engineer,Sprint 7,Completed,PBI-003;PBI-365,2,mandatory,docs/architecture/STATE_MODELS.md,Use product labels Members and Status
PBI-368,PBI-364,Administrator workflow,Task,Administrator,Member organization detail page,Implement detail view for organization users roles status and history link,Admin sees organization status users roles and access-history link with blocked states,R03;R22,P0,Frontend Engineer,Sprint 7,Completed,PBI-367,2,mandatory,docs/contracts/API_CONTRACTS.md,Must reflect pendingReview active inactive suspended deleted
PBI-369,PBI-364,Administrator workflow,Task,Administrator,Role assignment UI,Implement assign revoke and change role user interface,Admin can assign or revoke roles and invalid assignments show approved error envelope,R03;R22,P0,Frontend Engineer,Sprint 7,Completed,PBI-003;PBI-253;PBI-368,3,mandatory,docs/contracts/API_CONTRACTS.md,Consumes existing RBAC backend
PBI-370,PBI-364,Administrator workflow,Task,Administrator,Organization status actions,Add suspend reactivate deactivate UI actions where backend supports them,Allowed status transitions work and disallowed transitions are blocked and audited,R03;R22,P0,Backend Engineer;Frontend Engineer,Sprint 7,Completed,PBI-368;PBI-022,3,mandatory,docs/architecture/STATE_MODELS.md,No hard delete in MVP UI
PBI-371,PBI-364,Administrator workflow,QA,Administrator,Admin UAT and evidence,Validate admin role access and member governance workflow,Evidence records admin happy path unauthorized access denial and status handling,R03;R22,P0,QA Lead,Sprint 7,Completed,PBI-365;PBI-366;PBI-367;PBI-368;PBI-369;PBI-370,1,mandatory,docs/evidence/qa,Actor-flow closure evidence
