PBI-###,Type,Title,Description,AcceptanceCriteria,ReqIDs,NFR_Tags,StoryPoints,Priority,Owner,Sprint,Status,Dependencies,Notes
PBI-263,Feature,"Product entry, login, and authenticated dashboard journey","Create real product entry flow before dashboard.","Given visitor opens frontend, landing page is shown. | Given demo login succeeds, dashboard uses authenticated actor context.",R17;R03,Usability;Security;Accessibility;Maintainability,8,P0,Frontend Engineer,Sprint 6,Planned,PBI-017;PBI-253,"Branch: feature/PBI-263-product-entry-login-dashboard. Product UI must not expose PBI or sprint labels."
PBI-264,Story,"As a visitor, I want a landing page that explains the procurement, blockchain proof, and PLS seedbed value, so that the system looks like a real application before login","Create product-facing landing page.","Given visitor opens root route, landing page and sign-in CTA are visible. | Given navigation is inspected, no PBI/task/sprint labels appear.",R17,Usability;Accessibility;Maintainability,3,P0,Frontend Engineer,Sprint 6,Planned,PBI-263,Product-facing labels only.
PBI-265,Task,Do define landing page information architecture,"Define hero, workflow, blockchain proof, PLS seedbed, roles, and CTA.","Given task closes, landing structure is documented. | Given UI copy is reviewed, backlog labels are absent.",R17,Usability;Accessibility;Maintainability,1,P0,Frontend Engineer,Sprint 6,Planned,PBI-264,Evidence target: PBI-263_PRODUCT_ENTRY_VALIDATION.md.
PBI-266,Task,Do implement LandingPage component,"Implement default landing page component.","Given frontend root loads, LandingPage renders. | Given dashboard is requested anonymously, it is not the default view.",R17,Usability;Accessibility;Maintainability,2,P0,Frontend Engineer,Sprint 6,Planned,PBI-264,Evidence target: PBI-263_PRODUCT_ENTRY_VALIDATION.md.
PBI-267,Task,Do add landing page visual baseline,"Improve landing visual hierarchy and product presentation.","Given landing page renders, visual baseline is presentable. | Given UI is reviewed, product labels are used.",R17,Usability;Accessibility;Maintainability,2,P0,Frontend Engineer,Sprint 6,Planned,PBI-264,Evidence target: PBI-263_PRODUCT_ENTRY_VALIDATION.md.
PBI-268,Task,Do validate landing page,"Validate landing page build and acceptance.","Given validation runs, frontend build passes. | Given evidence is reviewed, landing page acceptance is recorded.",R17,Quality;Usability;Documentation,1,P0,QA Lead,Sprint 6,Planned,PBI-264,Evidence target: PBI-263_PRODUCT_ENTRY_VALIDATION.md.
PBI-269,Story,"As a platform user, I want to sign in using a demo account, so that I can enter the system as a real role instead of using hardcoded dashboard state","Add login and demo account flow.","Given demo account is selected, login stores session and actor context. | Given logout completes, session is cleared.",R03;R17,Security;Usability;Accessibility,3,P0,Frontend Engineer,Sprint 6,Planned,PBI-263;PBI-253,Consumes AUTH_SESSION_CONTRACT.md.
PBI-270,Task,Do define demo account catalogue,"Define demo accounts, roles, org state, and expected landing behavior.","Given catalogue is reviewed, each demo role is defined. | Given demo flow starts, credentials are documented safely.",R03;R17,Security;Usability;Documentation,1,P0,Frontend Engineer,Sprint 6,Planned,PBI-269,Update local demo runbook.
PBI-271,Task,Do implement LoginPage component,"Add login form and demo account selector.","Given /login renders, login form is visible. | Given demo account selected, form can be submitted.",R03;R17,Security;Usability;Accessibility,2,P0,Frontend Engineer,Sprint 6,Planned,PBI-269,Evidence target: PBI-263_PRODUCT_ENTRY_VALIDATION.md.
PBI-272,Task,Do implement frontend auth client,"Implement client for PBI-253 login/logout endpoints.","Given valid credentials, auth client stores returned session data. | Given invalid credentials, error state is handled.",R03;R17,Security;Maintainability;Integration,2,P0,Frontend Engineer,Sprint 6,Planned,PBI-269;PBI-253,Consumes AUTH_SESSION_CONTRACT.md.
PBI-273,Task,Do implement frontend session state provider,"Implement frontend session state for anonymous/authenticating/authenticated/expired/error.","Given login succeeds, authenticated state is shared. | Given session is cleared, state returns to anonymous.",R03;R17,Security;Maintainability;Usability,2,P0,Frontend Engineer,Sprint 6,Planned,PBI-269;PBI-253,No hardcoded App actor as runtime source.
PBI-274,Task,Do implement logout behavior,"Add logout action and local session clearing.","Given user logs out, backend logout is attempted and local session clears. | Given logout completes, dashboard is no longer accessible.",R03;R17,Security;Usability;Reliability,1,P0,Frontend Engineer,Sprint 6,Planned,PBI-269;PBI-253,Evidence target: PBI-263_PRODUCT_ENTRY_VALIDATION.md.
PBI-275,Task,Do validate login and demo flow,"Validate login success, failure, logout, and role landing.","Given validation runs, successful and failed login paths are recorded. | Given evidence is reviewed, logout behavior is recorded.",R03;R17,Quality;Security;Documentation,1,P0,QA Lead,Sprint 6,Planned,PBI-269,Evidence target: PBI-263_PRODUCT_ENTRY_VALIDATION.md.
PBI-276,Story,"As an authenticated user, I want dashboard access to be protected by session state, so that direct dashboard access does not bypass login","Protect dashboard routing.","Given anonymous user requests dashboard, redirect to login occurs. | Given authenticated actor opens dashboard, role comes from session actor.",R03;R17,Security;Usability;Accessibility,3,P0,Frontend Engineer,Sprint 6,Planned,PBI-263;PBI-269,Must remove direct dashboard boot.
PBI-277,Task,Do define frontend route map,"Define /, /login, /dashboard, /logout, and fallback behavior.","Given route map is reviewed, protected and public routes are explicit. | Given implementation starts, default route is landing.",R17,Usability;Maintainability,1,P0,Frontend Engineer,Sprint 6,Planned,PBI-276,Update FRONTEND_PRODUCT_JOURNEY.md if needed.
PBI-278,Task,Do implement lightweight route state in App,"Replace default dashboard boot with route/page state.","Given frontend starts, current page is landing. | Given route changes, App renders the correct page.",R03;R17,Usability;Maintainability,2,P0,Frontend Engineer,Sprint 6,Planned,PBI-276,Touches src/frontend/App.tsx.
PBI-279,Task,Do implement ProtectedDashboardRoute,"Add guarded dashboard wrapper.","Given anonymous user enters dashboard, guard redirects to login. | Given authenticated session exists, dashboard renders.",R03;R17,Security;Usability,2,P0,Frontend Engineer,Sprint 6,Planned,PBI-276;PBI-273,Evidence target: PBI-263_PRODUCT_ENTRY_VALIDATION.md.
PBI-280,Task,Do wire authenticated actor into DashboardShell,"Use session actor instead of hardcoded demoUserContext.","Given authenticated actor exists, DashboardShell uses actorRoleCodes from session. | Given actor missing, dashboard does not render as ready.",R03;R17,Security;Usability;Maintainability,2,P0,Frontend Engineer,Sprint 6,Planned,PBI-276;PBI-273,Removes runtime hardcoded actor dependency.
PBI-281,Task,Do validate protected route flow,"Validate anonymous redirect and authenticated dashboard access.","Given validation runs, anonymous and authenticated route behavior is recorded. | Given build runs, frontend build passes.",R03;R17,Quality;Security;Documentation,1,P0,QA Lead,Sprint 6,Planned,PBI-276,Evidence target: PBI-263_PRODUCT_ENTRY_VALIDATION.md.
PBI-282,Feature,Dashboard UX and ADR-aligned state-flow correction,"Fix scaffolded dashboard visuals and state flow.","Given authenticated user opens dashboard, visual baseline is product-ready. | Given blocked state exists, dashboard shows correct limited or blocked state.",R17,Usability;Security;Accessibility;Maintainability,8,P0,Frontend Engineer,Sprint 6,Planned,PBI-017;PBI-253;PBI-263,"Branch: feature/PBI-282-dashboard-ux-state-flow."
PBI-283,Story,"As an authenticated user, I want a clean dashboard layout, so that role-specific work is easy to understand and presentable","Create dashboard visual baseline.","Given dashboard loads, layout/cards/badges are consistent. | Given UI is reviewed, product labels are used.",R17,Usability;Accessibility;Maintainability,3,P0,Frontend Engineer,Sprint 6,Planned,PBI-282,Dashboard must be demo-presentable.
PBI-284,Task,Do define dashboard visual system,"Define layout, header, sidebar, card, badge, empty, error states.","Given task closes, visual rules are documented. | Given UI work starts, conventions are clear.",R17,Usability;Accessibility;Maintainability,1,P0,Frontend Engineer,Sprint 6,Planned,PBI-283,Update FRONTEND_PRODUCT_JOURNEY.md if needed.
PBI-285,Task,Do implement AppLayout component,"Implement shared app shell layout.","Given dashboard renders, AppLayout provides consistent shell. | Given workflow page renders, layout can be reused.",R17,Usability;Accessibility;Maintainability,2,P0,Frontend Engineer,Sprint 6,Planned,PBI-283,Files: src/frontend/components/layout.
PBI-286,Task,Do implement dashboard card and badge components,"Create reusable UI primitives for dashboard.","Given components render, cards and badges are consistent. | Given state badges appear, text labels accompany visual state.",R17,Usability;Accessibility;Maintainability,2,P0,Frontend Engineer,Sprint 6,Planned,PBI-283,Files: src/frontend/components/ui.
PBI-287,Task,Do restyle DashboardShell and widget zones,"Apply visual baseline to dashboard shell and widgets.","Given DashboardShell renders, spacing and hierarchy are improved. | Given widgets render, grouping is clear.",R17,Usability;Accessibility;Maintainability,2,P0,Frontend Engineer,Sprint 6,Planned,PBI-283,Evidence target: PBI-282_DASHBOARD_UX_STATE_VALIDATION.md.
PBI-288,Task,Do validate dashboard visual baseline,"Validate dashboard visual acceptance and build.","Given frontend build runs, it passes. | Given evidence is reviewed, visual baseline acceptance is recorded.",R17,Quality;Usability;Documentation,1,P0,QA Lead,Sprint 6,Planned,PBI-283,Evidence target: PBI-282_DASHBOARD_UX_STATE_VALIDATION.md.
PBI-289,Story,"As the frontend, I want a clear dashboard state resolver, so that actor, role, and organization state transitions are predictable","Implement dashboard state resolver gates.","Given actor context is resolved, resolver returns approved dashboard state. | Given non-operational state exists, write affordances are blocked or hidden.",R17,Usability;Security;Accessibility;Maintainability,3,P0,Frontend Engineer,Sprint 6,Planned,PBI-282;PBI-253,Follows DASHBOARD_STATE_FLOW_RECOMMENDATIONS.md.
PBI-290,Task,Do extract dashboard state resolver,"Create dashboard-state-resolver module.","Given actor context input, resolver returns deterministic shell state. | Given missing roles, resolver returns noRole.",R17,Usability;Security;Maintainability,2,P0,Frontend Engineer,Sprint 6,Planned,PBI-289,Files: src/frontend/lib/dashboard-state-resolver.ts.
PBI-291,Task,Do add user lifecycle gate,"Block inactive users before dashboard widgets.","Given user inactive, resolver returns blocked state. | Given user active, resolver continues to role gate.",R17,Security;Usability,1,P0,Frontend Engineer,Sprint 6,Planned,PBI-289,State-flow hardening.
PBI-292,Task,Do add role assignment gate,"Add noRole and unsupportedRole behavior.","Given no active role, dashboard shows noRole. | Given unsupported role, dashboard shows unsupportedRole.",R17,Security;Usability,1,P0,Frontend Engineer,Sprint 6,Planned,PBI-289,State-flow hardening.
PBI-293,Task,Do add organization state gate,"Add pendingReview and blocked org behavior.","Given org pendingReview, limited/status dashboard is shown. | Given org inactive/suspended/deleted, blocked/status-only state is shown.",R17,Security;Usability,1,P0,Frontend Engineer,Sprint 6,Planned,PBI-289,State-flow hardening.
PBI-294,Task,Do add dashboard state views,"Create UI views for loading, noRole, unsupportedRole, forbidden, pendingReview, blocked.","Given each state occurs, a clear state view renders. | Given blocked state renders, it does not imply operational access.",R17,Usability;Accessibility;Security,2,P0,Frontend Engineer,Sprint 6,Planned,PBI-289,Files: src/frontend/components/dashboard.
PBI-295,Task,Do validate state resolver behavior,"Validate user, role, and organization state combinations.","Given validation runs, state matrix is recorded. | Given build runs, frontend build passes.",R17,Quality;Security;Documentation,1,P0,QA Lead,Sprint 6,Planned,PBI-289,Evidence target: PBI-282_DASHBOARD_UX_STATE_VALIDATION.md.
PBI-296,Enabler,PostgreSQL persistence baseline for demo-stable workflows,"Add PostgreSQL persistence baseline for demo-critical workflows.","Given local infra starts, migrations and seed run. | Given adapters are added, domain code remains DB-library independent.",R03;R05;R22,Reliability;Maintainability;Security;Audit,8,P0,Backend Engineer,Sprint 6,Planned,PBI-253;PBI-005;PBI-002,"Branch: feature/PBI-296-postgres-persistence-baseline."
PBI-297,Task,Do define persistence decision,"Define DB adapter strategy and migration convention.","Given decision is reviewed, adapter boundaries are explicit. | Given implementation starts, migration convention is known.",R03;R05;R22,Maintainability;Reliability;Documentation,1,P0,Backend Engineer,Sprint 6,Planned,PBI-296,Reference POSTGRES_PERSISTENCE_DECISION.md.
PBI-298,Task,Do add PostgreSQL local Docker service,"Add local postgres service and safe env example.","Given docker compose starts, postgres is available. | Given env docs are reviewed, .env.local remains ignored.",R03;R05;R22,Reliability;Operability;Maintainability,2,P0,Backend Engineer,Sprint 6,Planned,PBI-296,Update docs/runbooks/postgres-local-dev.md.
PBI-299,Task,Do add database configuration module,"Add DB configuration loader/module.","Given backend starts, DB config is read safely. | Given config missing, safe error behavior is documented.",R03;R05;R22,Reliability;Maintainability,2,P0,Backend Engineer,Sprint 6,Planned,PBI-296,Files: src/infrastructure/database.
PBI-300,Task,Do add migration structure,"Create migration folder and runner convention.","Given migration runner runs, baseline migrations apply. | Given migrations are reviewed, ordering is explicit.",R03;R05;R22,Maintainability;Reliability,2,P0,Backend Engineer,Sprint 6,Planned,PBI-296,Folder: migrations/.
PBI-301,Task,Do add auth/session schema,"Add users and sessions schema.","Given migration applies, auth/session tables exist. | Given session status is stored, active/revoked/expired are representable.",R03;R22,Security;Reliability;Maintainability,2,P0,Backend Engineer,Sprint 6,Planned,PBI-296;PBI-253,Supports PBI-253 persistence.
PBI-302,Task,Do add membership/RBAC schema,"Add organizations, roles, and assignments schema.","Given migration applies, membership and RBAC tables exist. | Given seed runs, role assignments can be represented.",R03,Security;Reliability;Maintainability,2,P0,Backend Engineer,Sprint 6,Planned,PBI-296;PBI-003,Supports demo accounts.
PBI-303,Task,Do add audit/procurement schema,"Add access audit and procure-to-pay lifecycle event tables.","Given migration applies, audit/procurement event tables exist. | Given event is persisted, immutable reference fields are representable.",R05;R22,Audit;Integrity;Reliability,2,P0,Backend Engineer,Sprint 6,Planned,PBI-296;PBI-005;PBI-022,Supports PBI-005 persistence.
PBI-304,Task,Do add blockchain anchor metadata schema,"Add anchor status and Fabric metadata table.","Given migration applies, anchor metadata table exists. | Given anchor result is stored, tx id/channel/chaincode/status are representable.",R05;R22,Audit;Integrity;Reliability,2,P0,Backend Engineer,Sprint 6,Planned,PBI-296;PBI-323,Supports blockchain proof UI.
PBI-305,Task,Do add demo seed script,"Seed demo users, organizations, roles, assignments, and sample records.","Given seed runs, demo accounts are available. | Given seed runs repeatedly, behavior is safe or documented.",R03;R17,Usability;Reliability;Maintainability,2,P0,Backend Engineer,Sprint 6,Planned,PBI-296;PBI-263,Update docs/runbooks/local-demo.md.
PBI-306,Task,Do implement auth/session PostgreSQL adapter,"Implement Postgres adapter for auth/session repository seam.","Given login/session tests run, Postgres adapter behavior is covered. | Given in-memory tests run, existing seams remain usable.",R03;R22,Security;Reliability;Maintainability,3,P0,Backend Engineer,Sprint 6,Planned,PBI-296;PBI-301,Keep domain independent from DB library.
PBI-307,Task,Do implement procurement/audit PostgreSQL adapter,"Implement Postgres adapter for lifecycle/audit events.","Given event save runs, event persists in Postgres. | Given history query runs, persisted event can be read.",R05;R22,Audit;Reliability;Maintainability,3,P0,Backend Engineer,Sprint 6,Planned,PBI-296;PBI-303,Keep in-memory adapter for tests.
PBI-308,Task,Do validate PostgreSQL baseline,"Validate migrations, seed, build, and tests.","Given validation runs, migrations and seed are recorded. | Given build/tests run, results are recorded.",R03;R05;R22,Quality;Reliability;Documentation,1,P0,QA Lead,Sprint 6,Planned,PBI-296,Evidence target: PBI-296_POSTGRES_BASELINE_VALIDATION.md.
PBI-309,Enabler,Hyperledger Fabric sandbox and AuditAnchor smart contract baseline,"Add local Fabric sandbox and first AuditAnchor smart contract.","Given Fabric sandbox starts, AuditAnchorContract can be deployed. | Given event hash is anchored, verify returns correct result.",R05;R06;R22,Audit;Integrity;Security;Maintainability,8,P0,Blockchain Engineer,Sprint 6,Planned,PBI-005;PBI-022,"Branch: feature/PBI-309-fabric-audit-anchor."
PBI-310,Story,"As the development team, I want a clear Fabric MVP boundary, so that we put only proof data on-chain","Document Fabric MVP boundary.","Given boundary is reviewed, on-chain/off-chain data rules are explicit. | Given sensitive data exists, raw private payloads are excluded from chaincode.",R05;R06;R22,Audit;Security;Maintainability,2,P0,Blockchain Engineer,Sprint 6,Planned,PBI-309,Docs-first story.
PBI-311,Task,Do document Fabric MVP boundary,"Document on-chain/off-chain rules for MVP Fabric.","Given doc is reviewed, allowed on-chain fields are explicit. | Given doc is reviewed, production consortium rollout is out of scope.",R05;R06;R22,Audit;Security;Documentation,1,P0,Blockchain Engineer,Sprint 6,Planned,PBI-310,Reference FABRIC_MVP_BOUNDARY.md.
PBI-312,Task,Do define AuditAnchor smart-contract contract,"Define anchorEvent/getAnchor/verifyEvent/listAnchorsByCase.","Given contract is reviewed, chaincode functions are explicit. | Given backend consumes proof API, response states are explicit.",R05;R22,Audit;Integrity;Documentation,1,P0,Blockchain Engineer,Sprint 6,Planned,PBI-310,Reference BLOCKCHAIN_ANCHOR_CONTRACT.md.
PBI-313,Task,Do add Fabric local network runbook,"Document local Fabric startup and chaincode deployment steps.","Given runbook is followed, local Fabric network can start. | Given setup fails, known prerequisites are documented.",R05;R06;R22,Operability;Documentation;Reliability,1,P0,Blockchain Engineer,Sprint 6,Planned,PBI-310,Create docs/runbooks/fabric-local-network.md.
PBI-314,Story,"As an auditor, I want audit event hashes anchored on Fabric, so that event integrity can be independently verified","Implement AuditAnchorContract chaincode baseline.","Given event hash is submitted, anchorEvent stores it. | Given submitted hash is verified, verifyEvent returns verified, mismatch, or notFound.",R05;R22,Audit;Integrity;Security;Reliability,5,P0,Blockchain Engineer,Sprint 6,Planned,PBI-309;PBI-310,First smart-contract story.
PBI-315,Task,Do add chaincode workspace skeleton,"Create chaincode/audit-anchor package structure.","Given workspace exists, chaincode package can be built or tested. | Given project is reviewed, structure is documented.",R05;R22,Maintainability;Reliability,1,P0,Blockchain Engineer,Sprint 6,Planned,PBI-314,Folder: chaincode/audit-anchor.
PBI-316,Task,Do implement anchorEvent,"Implement AuditAnchorContract anchorEvent.","Given valid anchor input, event hash is stored. | Given duplicate eventId, chaincode rejects it.",R05;R22,Audit;Integrity;Security,2,P0,Blockchain Engineer,Sprint 6,Planned,PBI-314,Chaincode write function.
PBI-317,Task,Do implement getAnchor,"Implement anchor lookup by eventId.","Given anchor exists, getAnchor returns it. | Given anchor is missing, notFound behavior is explicit.",R05;R22,Audit;Reliability,1,P0,Blockchain Engineer,Sprint 6,Planned,PBI-314,Chaincode read function.
PBI-318,Task,Do implement verifyEvent,"Implement event hash verification.","Given hash matches, result is verified. | Given hash differs, result is mismatch.",R05;R22,Audit;Integrity;Security,2,P0,Blockchain Engineer,Sprint 6,Planned,PBI-314,Chaincode verification function.
PBI-319,Task,Do implement listAnchorsByCase,"Implement anchor list by caseIdHash.","Given anchors exist for case, list returns them. | Given none exist, empty result is returned.",R05;R22,Audit;Reliability,1,P0,Blockchain Engineer,Sprint 6,Planned,PBI-314,Chaincode query helper.
PBI-320,Task,Do add chaincode tests,"Add tests for anchor, duplicate, get, verify match/mismatch/notFound.","Given tests run, core chaincode behavior is covered. | Given duplicate input occurs, rejection is tested.",R05;R22,Quality;Audit;Reliability,2,P0,QA Lead,Sprint 6,Planned,PBI-314,Evidence target: PBI-309_FABRIC_BASELINE_VALIDATION.md.
PBI-321,Task,Do add chaincode deployment script,"Add script to package/install/deploy local chaincode.","Given script runs, chaincode deploys to local network. | Given deployment is reviewed, commands are documented.",R05;R22,Operability;Reliability;Maintainability,2,P0,Blockchain Engineer,Sprint 6,Planned,PBI-314,Folder: scripts/fabric.
PBI-322,Task,Do validate Fabric baseline,"Validate chaincode tests and local deployment evidence.","Given validation runs, chaincode tests are recorded. | Given local deployment runs, result is recorded.",R05;R22,Quality;Audit;Documentation,1,P0,QA Lead,Sprint 6,Planned,PBI-314,Evidence target: PBI-309_FABRIC_BASELINE_VALIDATION.md.
PBI-323,Enabler,Backend blockchain anchoring gateway and proof API,"Connect backend events to Fabric anchoring through gateway seam.","Given lifecycle event persists, gateway can anchor payload hash. | Given verify API is called, proof status is returned.",R05;R22,Audit;Integrity;Integration;Security,5,P0,Backend Engineer,Sprint 6,Planned,PBI-309;PBI-005;PBI-296,"Branch: feature/PBI-323-blockchain-gateway-proof-api."
PBI-324,Task,Do define backend blockchain anchor API contract,"Update API contract for proof and verification endpoints.","Given contract is reviewed, response states are explicit. | Given implementation starts, endpoints follow the contract.",R05;R22,Audit;Integration;Documentation,1,P0,Backend Engineer,Sprint 6,Planned,PBI-323,Reference BLOCKCHAIN_ANCHOR_CONTRACT.md.
PBI-325,Task,Do add BlockchainAnchorGateway port,"Create app-level port for anchorEvent and verifyEvent.","Given port exists, business code does not import Fabric SDK. | Given tests run, in-memory adapter can satisfy the port.",R05;R22,Maintainability;Integration,2,P0,Backend Engineer,Sprint 6,Planned,PBI-323,Files: src/modules/blockchain/application.
PBI-326,Task,Do add in-memory blockchain anchor adapter,"Add test adapter for anchor/verify without Fabric.","Given adapter anchors, proof is stored in memory. | Given verify is called, verified/mismatch/notFound works.",R05;R22,Testability;Reliability,2,P0,Backend Engineer,Sprint 6,Planned,PBI-323;PBI-325,Keeps unit tests Fabric-independent.
PBI-327,Task,Do add Fabric blockchain anchor adapter,"Implement adapter to call Fabric AuditAnchorContract.","Given Fabric is available, anchorEvent submits to chaincode. | Given Fabric unavailable, safe unavailable/failure state is returned.",R05;R22,Integration;Reliability;Security,3,P0,Backend Engineer,Sprint 6,Planned,PBI-323;PBI-325;PBI-309,Use Fabric SDK only in infrastructure adapter.
PBI-328,Task,Do add anchor metadata repository,"Persist anchor status and Fabric references.","Given anchor result exists, metadata is stored. | Given event proof is requested, metadata can be retrieved.",R05;R22,Audit;Reliability;Maintainability,2,P0,Backend Engineer,Sprint 6,Planned,PBI-323;PBI-304,Requires Postgres if PBI-296 is active.
